"f_file","q_file","K_detected","n_inds","K_from_name","ok","fail_reason"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-1_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-10_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-2_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-3_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-4_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-5_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-6_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-7_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-8_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K1-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K1-9_f.Q",1,278,1,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-1_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-2_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-3_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-4_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-5_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-6_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-7_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-8_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K10-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K10-9_f.Q",10,278,10,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-1_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-10_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-2_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-3_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-4_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-5_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-6_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-7_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-8_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K11-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K11-9_f.Q",11,278,11,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-1_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-10_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-2_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-3_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-4_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-5_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-6_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-7_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-8_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K12-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K12-9_f.Q",12,278,12,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-1_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-10_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-2_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-3_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-4_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-5_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-6_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-7_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-8_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K2-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K2-9_f.Q",2,278,2,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-1_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-1_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-10_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-10_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-2_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-2_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-3_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-3_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-4_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-4_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-5_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-5_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-6_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-6_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-7_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-7_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-8_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-8_f.Q",3,278,3,TRUE,"ok"
"/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/STRUCTURE_ZG_HEG-RESULTS/STRUCTURE_ZG_HEG-K3-9_f","/Users/zacharygagnon/Desktop/BeechCode/outputs/v1/structure_runs/Q_extracted/STRUCTURE_ZG_HEG-K3-9_f.Q",3,278,3,TRUE,"ok"
